ind,node_id,xx,yy,time,cluster_id,chain_id,in_size,out_size,neig_size
0,0,179865.611777,2513341.28989,80.0,-1,,0,18,4
1,1,179865.611777,2513341.28989,85.0,-1,,0,15,13
2,2,179865.611777,2513341.28989,86.0,-1,,0,13,15
3,3,178901.378839,2513208.4441,87.0,-1,,0,0,0
4,4,179865.611777,2513341.28989,90.0,-1,,0,12,16
5,5,179865.611777,2513341.28989,91.0,-1,,0,11,17
6,6,179761.104502,2513401.56918,93.0,0,-1.0,1,9,19
7,7,179865.611777,2513341.28989,94.0,0,-1.0,1,10,18
8,8,179865.611777,2513341.28989,95.0,0,-1.0,1,9,19
9,9,179865.611777,2513341.28989,95.0,0,-1.0,1,9,19
10,10,179761.104502,2513401.56918,96.0,0,-1.0,1,7,22
11,11,179415.239562,2513474.03903,96.0,0,-1.0,1,7,22
12,12,179865.611777,2513341.28989,96.0,0,-1.0,1,7,21
13,13,179865.611777,2513341.28989,96.0,0,-1.0,1,7,21
14,14,179865.611777,2513341.28989,96.0,0,-1.0,1,7,21
15,15,179415.239562,2513474.03903,97.0,0,-1.0,2,5,24
16,16,179846.399269,2513407.82049,97.0,0,-1.0,2,5,24
17,17,179418.808673,2513579.2227,99.0,-1,,0,2,8
18,18,187919.870813,2504053.36361,100.0,-1,,0,0,0
19,19,179865.611777,2513341.28989,101.0,0,-1.0,3,6,25
20,20,179858.099692,2513271.5602,102.0,0,-1.0,4,7,24
21,21,174629.642451,2517538.91082,103.0,-1,,0,0,0
22,22,179865.611777,2513341.28989,103.0,0,-1.0,5,7,23
23,23,179865.611777,2513341.28989,104.0,0,-1.0,5,10,23
24,24,179865.611777,2513341.28989,106.0,0,-1.0,7,14,21
25,25,179432.159664,2513356.5794,107.0,0,-1.0,9,14,20
26,26,179726.963459,2513572.26154,107.0,0,-1.0,9,14,20
27,27,177832.767316,2521176.62784,107.0,-1,,0,0,0
28,28,179865.611777,2513341.28989,108.0,1,-1.0,13,14,14
29,29,179782.485211,2513136.80937,108.0,-1,,13,14,14
30,30,179865.611777,2513341.28989,108.0,1,-1.0,13,14,14
31,31,179652.89792,2513550.4559,109.0,-1,,15,14,13
32,32,179865.611777,2513341.28989,111.0,-1,,15,15,13
33,33,179782.485211,2513136.80937,112.0,-1,,15,16,13
34,34,179204.427628,2512764.08515,113.0,-1,,0,0,0
35,35,181021.518528,2500176.16634,115.0,-1,,0,0,1
36,36,176669.895159,2514671.8973,118.0,-1,,0,0,0
37,37,181021.518528,2500176.16634,119.0,-1,,0,1,1
38,38,180481.985259,2514239.86351,120.0,-1,,0,0,2
39,39,179865.43054,2513525.11404,121.0,-1,,22,13,12
40,40,177773.062846,2513140.6632,121.0,-1,,0,2,4
41,41,180019.999959,2514299.56214,122.0,-1,,0,2,2
42,42,177659.049088,2513577.50946,122.0,-1,,0,6,4
43,43,180019.999959,2514299.56214,123.0,-1,,0,2,2
44,44,179747.081119,2513256.56842,124.0,-1,,16,14,13
45,45,177659.049088,2513577.50946,125.0,-1,,0,6,6
